job_id,job_name,experience_required,education
1,Data Scientist,9,PhD
2,Data Architect,9,Master
3,Statistician,1,Bachelor
4,Business Intelligence Analyst,8,PhD
5,Statistician,4,Bachelor
6,Data Architect,6,PhD
7,Data Scientist,9,Master
8,Big Data Engineer,10,Bachelor
9,Data Analyst,1,PhD
10,Data Analyst,5,PhD
11,Data Engineer,7,Bachelor
12,Data Architect,1,Bachelor
13,Machine Learning Engineer,1,Master
14,Data Scientist,9,Master
15,Statistician,6,PhD
16,Research Scientist,7,PhD
17,Data Architect,7,PhD
18,Big Data Engineer,8,Bachelor
19,Data Analyst,6,PhD
20,Big Data Engineer,4,PhD
21,Data Scientist,5,PhD
22,Research Scientist,9,Bachelor
23,Data Architect,1,PhD
24,Quantitative Analyst,4,Master
25,Machine Learning Engineer,3,PhD
26,Business Intelligence Analyst,9,PhD
27,Big Data Engineer,8,PhD
28,Data Analyst,9,PhD
29,Quantitative Analyst,1,Master
30,Statistician,4,Bachelor
31,Research Scientist,10,Master
32,Data Scientist,3,Master
33,Data Engineer,4,Master
34,Data Architect,2,PhD
35,Data Analyst,1,PhD
36,Machine Learning Engineer,1,PhD
37,Data Engineer,5,Bachelor
38,Machine Learning Engineer,4,Bachelor
39,Data Scientist,6,Bachelor
40,Machine Learning Engineer,10,Master
41,Data Scientist,9,PhD
42,Big Data Engineer,3,Bachelor
43,Data Scientist,8,Master
44,Data Architect,2,Master
45,Business Intelligence Analyst,5,PhD
46,Statistician,7,Master
47,Data Scientist,2,Bachelor
48,Business Intelligence Analyst,10,PhD
49,Data Engineer,1,PhD
50,Data Architect,3,Bachelor
51,Quantitative Analyst,2,Master
52,Data Analyst,8,PhD
53,Data Architect,6,Master
54,Quantitative Analyst,10,Bachelor
55,Data Architect,8,PhD
56,Quantitative Analyst,3,Bachelor
57,Data Analyst,9,Bachelor
58,Data Architect,9,Bachelor
59,Statistician,10,Bachelor
60,Data Scientist,1,PhD
61,Data Analyst,9,Master
62,Data Scientist,1,Bachelor
63,Data Scientist,1,Bachelor
64,Big Data Engineer,4,Master
65,Big Data Engineer,2,Master
66,Quantitative Analyst,3,Bachelor
67,Business Intelligence Analyst,5,Master
68,Statistician,10,PhD
69,Data Architect,3,PhD
70,Statistician,6,Master
71,Business Intelligence Analyst,10,Bachelor
72,Research Scientist,9,PhD
73,Data Architect,8,Bachelor
74,Big Data Engineer,4,Master
75,Data Architect,7,PhD
76,Machine Learning Engineer,4,PhD
77,Business Intelligence Analyst,1,PhD
78,Big Data Engineer,4,PhD
79,Data Architect,5,PhD
80,Machine Learning Engineer,6,PhD
81,Statistician,7,PhD
82,Quantitative Analyst,6,PhD
83,Quantitative Analyst,3,Master
84,Statistician,5,Master
85,Machine Learning Engineer,1,Master
86,Data Engineer,2,PhD
87,Statistician,3,Master
88,Data Scientist,6,PhD
89,Research Scientist,8,Bachelor
90,Data Architect,3,Master
91,Research Scientist,4,Bachelor
92,Research Scientist,8,Bachelor
93,Data Analyst,5,PhD
94,Machine Learning Engineer,5,Master
95,Data Engineer,9,Master
96,Quantitative Analyst,1,Master
97,Data Engineer,9,PhD
98,Statistician,5,Bachelor
99,Data Architect,7,Master
100,Quantitative Analyst,2,Bachelor
101,Statistician,2,Master
102,Machine Learning Engineer,6,Bachelor
103,Data Analyst,2,Master
104,Data Architect,10,Master
105,Data Scientist,4,Bachelor
106,Data Engineer,4,PhD
107,Statistician,7,PhD
108,Machine Learning Engineer,9,Master
109,Data Analyst,5,Master
110,Quantitative Analyst,7,PhD
111,Big Data Engineer,7,Bachelor
112,Data Analyst,10,Bachelor
113,Data Architect,6,PhD
114,Data Scientist,4,Master
115,Data Engineer,10,Bachelor
116,Machine Learning Engineer,4,Bachelor
117,Big Data Engineer,7,Bachelor
118,Quantitative Analyst,3,PhD
119,Data Architect,8,Master
120,Research Scientist,3,Master
121,Research Scientist,1,Master
122,Data Architect,5,PhD
123,Quantitative Analyst,5,Bachelor
124,Business Intelligence Analyst,2,Master
125,Research Scientist,10,Master
126,Research Scientist,4,Master
127,Research Scientist,3,PhD
128,Research Scientist,4,Master
129,Business Intelligence Analyst,9,Bachelor
130,Data Engineer,5,PhD
131,Data Scientist,10,Bachelor
132,Statistician,9,PhD
133,Data Analyst,10,Bachelor
134,Data Scientist,1,Bachelor
135,Data Scientist,4,Bachelor
136,Quantitative Analyst,2,Master
137,Business Intelligence Analyst,9,Master
138,Business Intelligence Analyst,5,Master
139,Big Data Engineer,7,Bachelor
140,Research Scientist,9,Bachelor
141,Big Data Engineer,1,Master
142,Machine Learning Engineer,9,Master
143,Research Scientist,1,Bachelor
144,Data Engineer,1,PhD
145,Big Data Engineer,10,Master
146,Data Architect,8,Master
147,Business Intelligence Analyst,10,Bachelor
148,Business Intelligence Analyst,3,Bachelor
149,Business Intelligence Analyst,1,Bachelor
150,Data Engineer,7,Master
151,Business Intelligence Analyst,9,Master
152,Data Architect,8,PhD
153,Statistician,2,Bachelor
154,Statistician,8,PhD
155,Quantitative Analyst,10,PhD
156,Data Architect,5,Bachelor
157,Machine Learning Engineer,5,PhD
158,Data Analyst,7,Master
159,Data Analyst,2,Master
160,Data Analyst,2,Master
161,Quantitative Analyst,5,Master
162,Machine Learning Engineer,3,Bachelor
163,Machine Learning Engineer,4,Master
164,Data Scientist,10,Master
165,Big Data Engineer,3,Bachelor
166,Business Intelligence Analyst,9,Bachelor
167,Business Intelligence Analyst,6,Master
168,Statistician,3,PhD
169,Machine Learning Engineer,4,Bachelor
170,Data Analyst,7,Master
171,Quantitative Analyst,1,Bachelor
172,Machine Learning Engineer,4,PhD
173,Business Intelligence Analyst,9,Master
174,Quantitative Analyst,6,Bachelor
175,Machine Learning Engineer,7,PhD
176,Research Scientist,8,Master
177,Data Engineer,6,Bachelor
178,Data Engineer,4,Bachelor
179,Business Intelligence Analyst,2,Bachelor
180,Machine Learning Engineer,2,PhD
181,Data Analyst,3,Master
182,Data Engineer,8,Bachelor
183,Data Analyst,4,Bachelor
184,Data Scientist,10,PhD
185,Research Scientist,8,Master
186,Quantitative Analyst,1,Bachelor
187,Machine Learning Engineer,6,PhD
188,Data Architect,7,PhD
189,Research Scientist,3,PhD
190,Data Scientist,5,Bachelor
191,Data Engineer,5,Master
192,Research Scientist,1,Bachelor
193,Data Analyst,8,Master
194,Research Scientist,7,Master
195,Research Scientist,10,Bachelor
196,Business Intelligence Analyst,4,Bachelor
197,Statistician,8,Bachelor
198,Data Architect,1,Bachelor
199,Data Architect,7,Master
200,Statistician,4,Master
201,Data Architect,4,Master
